Age,Job,Marital,Qualification,Default_Premium,Health_Insurance,General_Insurance,Contact,Month,Last_Contact_Day,Last_Contact_Duration,Contacts_During_Campaign,Previous_Contact_Days,Contacts_Before_Campaign,Previous_Outcome,Employement_Rates,Price_Variation,Consumer_Confidence_Index,Insurance_Rate,No_Employees,Client_Subscribed
56,3,1,0,0,0,0,1,6,1,261,1,999,0,1,1.1,94.15968611,-38.17367882,3.543298225,5074.493963,0
57,7,1,1,1,0,0,1,6,1,149,1,999,0,1,1.1,93.37447946,-33.31242778,6.013585009,5125.221264,0
37,7,1,1,0,2,0,1,6,1,226,1,999,0,1,1.1,94.100629,-51.94734862,2.784063294,5205.455324,0
40,0,1,0,0,0,0,1,6,1,151,1,999,0,1,1.1,92.77261291,-35.62458403,4.45923725,5096.13993,0
56,7,1,1,0,0,2,1,6,1,307,1,999,0,1,1.1,93.24124817,-33.4921472,3.988743913,5112.681264,0
45,7,1,0,1,0,0,1,6,1,198,1,999,0,1,1.1,94.76029451,-38.57736237,6.05811404,5153.268354,0
59,0,1,3,0,0,0,1,6,1,139,1,999,0,1,1.1,93.62509508,-33.67137526,3.896023981,5250.583878,0
41,1,1,5,1,0,0,1,6,1,217,1,999,0,1,1.1,93.64994466,-44.54993409,6.820408841,5064.645471,0
24,9,2,3,0,2,0,1,6,1,380,1,999,0,1,1.1,93.84952645,-40.05230709,3.056284301,5166.674781,0
25,7,2,1,0,2,0,1,6,1,50,1,999,0,1,1.1,93.45641748,-37.95947696,3.648408284,5193.403261,0
41,1,1,5,1,0,0,1,6,1,55,1,999,0,1,1.1,94.22752702,-38.73225346,4.208783218,5229.919938,0
25,7,2,1,0,2,0,1,6,1,222,1,999,0,1,1.1,94.22159427,-40.90614669,5.856903553,5238.321791,0
29,1,2,1,0,0,2,1,6,1,137,1,999,0,1,1.1,93.85381345,-43.74680644,3.933236337,5170.250844,0
57,3,0,0,0,2,0,1,6,1,293,1,999,0,1,1.1,93.71085304,-37.60141463,2.221964633,5288.922417,0
35,1,1,0,0,2,0,1,6,1,146,1,999,0,1,1.1,93.81760076,-45.28893152,2.572135301,5211.101201,0
54,5,1,0,1,2,2,1,6,1,174,1,999,0,1,1.1,93.01538673,-37.52942019,1.631599955,5194.104934,0
35,1,1,0,0,2,0,1,6,1,312,1,999,0,1,1.1,93.59223477,-46.53932646,3.70185284,5152.832832,0
46,1,1,0,1,2,2,1,6,1,440,1,999,0,1,1.1,93.92061517,-44.21116838,4.823244595,5110.139174,0
50,1,1,0,0,2,2,1,6,1,353,1,999,0,1,1.1,93.62501071,-42.77505687,4.86105083,5274.312172,0
39,4,2,0,1,0,0,1,6,1,195,1,999,0,1,1.1,94.1238661,-36.62908302,3.562132285,5116.024925,0
30,10,1,1,0,0,0,1,6,1,38,1,999,0,1,1.1,93.54808415,-39.2528919,3.028809592,5170.977769,0
55,1,1,0,1,2,0,1,6,1,262,1,999,0,1,1.1,93.19748957,-37.2226519,3.594892126,5246.433484,0
55,5,2,1,0,2,0,1,6,1,342,1,999,0,1,1.1,94.12958914,-48.24415234,2.798446848,5161.269903,0
41,9,2,1,0,2,0,1,6,1,181,1,999,0,1,1.1,94.42231367,-42.92470142,3.508290205,5134.46704,0
37,0,1,1,0,2,0,1,6,1,172,1,999,0,1,1.1,94.28812137,-39.57549759,2.721042464,5355.582608,0
35,9,1,4,0,0,2,1,6,1,99,1,999,0,1,1.1,94.43143343,-48.5067095,2.24184307,5167.906998,0
59,9,1,5,0,2,0,1,6,1,93,1,999,0,1,1.1,94.04445915,-46.10295573,6.601738237,5127.206913,0
39,6,1,0,1,0,0,1,6,1,233,1,999,0,1,1.1,93.64323757,-36.07892801,4.933256652,5049.807377,0
54,9,2,4,1,0,0,1,6,1,255,2,999,0,1,1.1,93.84211394,-31.95147393,4.542954926,5145.197983,0
55,11,1,4,1,1,1,1,6,1,362,1,999,0,1,1.1,93.76438964,-44.09428802,2.337165449,5079.578072,0
46,0,1,5,0,0,0,1,6,1,348,1,999,0,1,1.1,93.55738479,-43.47873004,4.913749791,5237.375832,0
59,9,1,5,0,2,0,1,6,1,386,1,999,0,1,1.1,93.70966178,-37.79775727,2.648747219,5152.171221,0
49,1,1,5,0,0,0,1,6,1,73,1,999,0,1,1.1,93.75584252,-33.81597862,3.310080822,5123.455026,0
54,4,1,0,1,2,0,1,6,1,230,1,999,0,1,1.1,94.48429601,-33.48109109,2.624457046,5160.325733,0
54,1,0,0,0,0,0,1,6,1,208,1,999,0,1,1.1,93.83319578,-33.45467917,1.461169599,5113.207418,0
55,11,1,0,1,2,0,1,6,1,336,1,999,0,1,1.1,93.67342827,-40.40787978,2.024609113,5178.419185,0
34,7,1,1,0,0,0,1,6,1,365,1,999,0,1,1.1,93.81471879,-41.47269912,2.282222564,5071.569734,0
52,9,1,0,0,2,0,1,6,1,1666,1,999,0,1,1.1,94.0720632,-43.52049106,5.510120396,5110.441405,0
41,0,1,4,0,2,0,1,6,1,577,1,999,0,1,1.1,94.40787427,-38.51787106,2.572473173,5129.185036,0
56,9,1,0,0,2,0,1,6,1,137,1,999,0,1,1.1,93.24649552,-41.29968833,0.706607413,5095.137949,0
58,4,3,4,0,2,0,1,6,1,366,1,999,0,1,1.1,94.50286213,-48.25322892,4.891825365,5168.55232,0
32,2,1,1,0,2,0,1,6,1,314,1,999,0,1,1.1,93.49177315,-37.62478377,4.461995758,5127.209176,0
38,0,2,3,0,0,0,1,6,1,160,1,999,0,1,1.1,93.4419957,-45.63009687,4.656239114,5104.272493,0
57,0,1,4,0,0,2,1,6,1,212,1,999,0,1,1.1,93.11304529,-30.63285278,5.178552128,5256.28588,0
44,0,1,4,1,2,0,1,6,1,188,1,999,0,1,1.1,93.23904383,-37.11015909,4.204761272,5267.652445,0
42,9,2,3,1,0,0,1,6,1,22,1,999,0,1,1.1,93.45074937,-32.14304892,5.556927695,5166.642495,0
57,0,1,4,0,2,2,1,6,1,616,1,999,0,1,1.1,92.793675,-39.38251734,1.486842821,5121.057168,0
